name,method,garnish,Notes,Ingredient 1,Ingredient 2,Ingredient 3,Ingredient 4,Ingredient 5,,,Fruity,Creamy,Boozy,Light,Bubbly,Classic,Smokey,Floral,Herbal,Shot,Warm,Sharing,Extras,All,Base Alc
Sweet Pink Martini,Shaken,strawberry,optional double strain,2 small strawberries,2 raspberries,1.5 oz vodka,1/2 oz Orange liqueur,1.5 oz sour mix,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,vodka
Sweet Martini,Stirred,garnish cocktail cherry,,2 oz gin,1 oz sweet vermouth,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,gin
Paper Plane,Shaken,None,,1 oz amaro,1 oz bourbon,1 oz sweet vermouth,1 oz lemon juice,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,bourbon
Moscow Mule,Stirred (in glass),Lime Wedge`,,1.5 oz vodka,1/6 oz lime juice,4 oz ginger beer,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,vodka
Old Fashion,Stirred (in glass),,all the variation,2 oz whiskey,1/4 oz syrup,3-4 dashes bitters,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,whiskey
Espresso Martini,Shaken,,,1 shot espresso,1.5 oz milk of choice,1.5 oz creme liqueur,1/4 oz rakomelo,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,liqueur
Margarita,Shaken,lime wheel,all the variation,1.5 oz Tequila,1 oz Orange Liqueur,3/4 oz lime juice,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,tequila
Peary Fairy,Shaken,,,1.5 oz pear juice,1/2 oz bourbon,1 oz spice rum,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,rum
tinto de verano,batch,do it yourself,,lemon soda,red wine,lemon,orange (the color),optional sweet vermouth,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,wine
strawberry daquiri,blended batch (yields 4),lime wheel,,1 lbs strawberries,3 oz simple syrup,2 oz lemon juice,8 oz white/light rum,1 cup ice,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,rum
cherry vodka sour,shaken,speared marachino,,1.5 oz vodka,0.5 oz cherry vodka,2 oz sour mix,2 dash bitters,egg white or aquafaba,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,vodka
Peach Margarita,shaken,,,1.5 oz Tequila,0.5 oz Orange Liqueur,0.5 oz peach shnapps,0.5 oz lime juice,muddled peach,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,tequila
Aperol spritz,stirred,Orange slice,,2 oz aperol,2 oz prosecco,splash club soda,,,,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,aperitif
grapefruit old fashioned,stirred (in glass),,,2.0 oz bourbon,0.25 oz grapefruit syrup,smoked grapefruit bitters,,,,,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,bourbon
NU23,shake that citrus,flute,,1 oz Gin,0.5 oz lemon,0.33 oz simple syrup,2 oz champange,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,gin
old cuban cocktail,,mint,,1.5 oz Aged Rum,0.75 oz lime,0.75 oz simple syrup,6 mint,bitters,2 oz champane,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,rum
Negroni Sbagliato,stir,orange twist,on the rocks,1 oz vermouth,1 oz campari,1 oz champagne,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,aperitif
New York Sour,in glass,,float wine on top,2 oz Bourbon,1 oz lemon juice,0.5 oz simple syrup,1 oz dry red,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,bourbon
The Russian,Shaken,Naked man,martini,3 oz Vodka,1 oz pickle juice,0.5 oz dry vermouth,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,vodka
The Jew,Shaken,,,2 oz Apple Whiskey,1 oz Cider,0.5 oz Honey syrup,cinnamon,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,whiskey
The B-Day Girl,in bowl,,Fish Bowl,4 pt Jew,4 pt russian,4 pt OJ,2 pt white rum,3 pt bubbles,2 pt lime,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,all
$ublord,Layered,,,grenadine,OJ,crème de menthe,Gin,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,gin
Vertigo,Layered,,,grenadine,OJ,crème de menthe,tequila,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,tequila
